meanings,caionWord
that,a
center,aba
central,aballos
to centralize,aballuor
to center,abascar
mean,abes
middle,abon
in the middle,abor
eighty,abrax
eighty eight times,abrax abris
eighty eight,abrax abro
eighty eighth,abrax abros
eighty six,abrax bei
eighty six times,abrax beiis
eighty sixth,abrax beios
eighty seven,abrax cod
eighty seven times,abrax codis
eighty seventh,abrax codos
eighty one times,abrax iratis
eighty first,abrax iratos
eighty nine,abrax iura
eighty nine times,abrax iuris
eighty ninth,abrax iuros
eighty three times,abrax mis
eighty three,abrax mo
eighty third,abrax mos
eighty one,abrax no
eighty five,abrax poma
eighty five times,abrax pomis
eighty fifth,abrax pomos
eighty two,abrax rax
eighty two times,abrax raxis
eighty second,abrax raxos
eighty four,abrax seni
eighty fourth,abrax senios
eighty four times,abrax senis
eighty times,abraxis
eightieth,abraxos
eight times,abris
eight,abro
eight hundred,abro carax
eight hundred times,abro caraxis
eight hundredth,abro caraxos
eight thousand,abro meti
eight thousand times,abro metiis
eight thousandth,abro metios
eighteen,abromax
eighteen times,abromaxis
eighteenth,abromaxos
eighth,abros
beauty,acinos
majority,acratos
poverty,acuios
craziness,adandros
flexibility,adastos
existence,aenon
safety,aharithos
size,ahios
height,ahiros
bravery,ahiuthon
silence,ailithon
to silence,ailithoscor
softness,aillos
future,aimmicon
observance,aimminor
obedience,aincathon
kindness / gentleness,aincios
curiosity,ainstavon
capacity,ainstos
cold,aintuon
where,aios
presence,airenon
productivity,airinon
humidity,airivos
equality,airros
what,ais
youth,aitiamos
blindness,aixtos
society,ajosallos
ability,ajostos
similarity,ajostra
community,ajuson
consistency,ajuthenon
conductivity,ajuthinon
correspondence,ajuvevion
confidence,ajuvicnon
lustfulness,aladribos
desireableness,alastos
because of,am
objectivity,amanicnos
sickness / illness,amarros
spirituality,amelios
attentiveness,aminithor
patience,aminor
anger,amnicos
darkness,amnitos
emptiness,anauros
usefulness,anellibos
uselessness,anellisios
tower,ani
who,anios
surveillance,anirus
to guard / watch over,anithor
guard,anithos
to watch,anor
watcher,anos
sharpness,anucros
